,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9563,13502,LA,1,F,N,N,Y,N,N,N,N,N
9564,13503,LA,1,F,N,N,N,Y,N,N,N,N
9565,13504,LA,1,F,N,N,N,N,N,N,N,Y
9566,13505,LA,2,M,N,N,N,N,N,Y,N,N
9567,13506,BU,1,F,N,N,N,N,N,Y,N,N
9568,13507,LA,1,M,N,N,N,N,N,Y,N,N
9569,13508,AR,1,M,N,N,N,N,N,Y,N,N
9570,13509,LA,2,M,N,N,N,N,N,Y,N,N
9571,13510,LA,1,M,N,N,N,N,N,Y,N,N
9572,13511,FA,1,M,N,N,Y,N,N,N,Y,N
9573,13512,BU,1,M,N,N,N,N,N,Y,N,N
9574,13513,LA,1,M,N,N,N,N,N,Y,N,N
9575,13514,LA,1,M,N,N,N,N,N,Y,N,N
9576,13515,LA,1,F,N,N,N,N,N,Y,N,N
9577,13516,LA,1,M,N,N,Y,N,N,N,N,N
9578,13517,BU,2,F,N,N,N,N,N,Y,N,N
9579,13518,LA,2,F,N,N,Y,N,N,N,N,N
9580,13519,LA,2,F,N,N,N,N,N,Y,N,N
9581,13520,EN,1,M,N,N,N,N,N,Y,N,N
9582,13521,FA,2,F,N,N,Y,N,N,N,Y,N
9583,13522,LA,1,F,N,N,N,N,N,Y,N,N
9584,13523,LA,2,M,N,N,N,N,N,Y,N,N
9585,13524,LA,1,F,Y,N,N,N,N,Y,N,N
9586,13525,LA,1,F,N,N,N,N,N,Y,N,N
9587,13526,LA,1,M,N,N,N,N,N,Y,N,N
9588,13527,BU,1,F,N,N,N,Y,N,N,N,N
9589,13528,LA,1,F,N,N,N,N,N,Y,N,N
9590,13529,LA,1,M,N,N,N,N,N,Y,N,N
9591,13530,LA,1,M,N,N,N,Y,N,N,N,N
9592,13531,LA,0,F,Y,N,N,Y,N,N,N,N
9593,13532,LA,2,F,N,N,N,N,N,Y,N,N
9594,13533,BU,1,M,N,N,N,N,N,Y,N,N
9595,13534,BU,1,M,N,N,N,Y,N,N,N,N
