id,terminal,num,datetime,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr,date,product,quantity,price
NA,NA,3779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Pizza Slice,1,2.99
NA,NA,3780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Large,1,1.75
NA,NA,3781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,6.05
NA,NA,3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,6.05
NA,NA,3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soup Bowl,1,2.45
NA,NA,3783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,4
NA,NA,3784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,MTO SALAD REG,1,5.35
NA,NA,3786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
NA,NA,3787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Milk Chug,1,1.7
NA,NA,3787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Fries,1,1.85
NA,NA,3787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Cheese Burger,1,4
NA,NA,3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Large,1,1.75
2471,DeliciOSO 10 Server B,3789,2013-10-06T15:05:16Z,LA,8,M,N,N,N,N,N,N,Y,N,2013-10-06,Guac side,1,1.35
2471,DeliciOSO 10 Server B,3789,2013-10-06T15:05:16Z,LA,8,M,N,N,N,N,N,N,Y,N,2013-10-06,Taco Salad,1,5.75
2845,DeliciOSO 10 Server B,3790,2013-10-06T15:05:21Z,LA,8,M,N,N,N,Y,N,N,N,N,2013-10-06,Taco Salad,1,5.75
8533,DeliciOSO 10 Server B,3791,2013-10-06T15:06:03Z,EN,7,M,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
5216,DeliciOSO 10 Server B,3792,2013-10-06T15:06:11Z,LA,6,F,N,N,N,Y,N,N,N,N,2013-10-06,Large Salad,1,5.35
8004,DeliciOSO 10 Server B,3793,2013-10-06T15:07:37Z,BU,5,M,N,N,Y,N,N,N,N,N,2013-10-06,Milk Chug,1,1.7
8004,DeliciOSO 10 Server B,3793,2013-10-06T15:07:37Z,BU,5,M,N,N,Y,N,N,N,N,N,2013-10-06,Cheese,1,0.55
